ticker,year,document_id,scope,source_path,file_size_bytes,character_count,utf8_byte_count,page_count,table_count,first_table_offset,last_table_offset
AAA,2015,AAA_financial_statements_2015_consolidated,consolidated,data/data/ViFinQA/financial_statements/AAA/2015/AAA_financial_statements_2015_consolidated/AAA_financial_statements_2015_consolidated_extracted.txt,142651,118654,142651,43,47,430,117612
AAA,2015,AAA_financial_statements_2015_separate,separate,data/data/ViFinQA/financial_statements/AAA/2015/AAA_financial_statements_2015_separate/AAA_financial_statements_2015_separate_extracted.txt,129261,108667,129261,40,48,427,107563
AAA,2016,AAA_financial_statements_2016_consolidated,consolidated,data/data/ViFinQA/financial_statements/AAA/2016/AAA_financial_statements_2016_consolidated/AAA_financial_statements_2016_consolidated_extracted.txt,161626,135036,161626,48,48,351,134143
AAA,2016,AAA_financial_statements_2016_separate,separate,data/data/ViFinQA/financial_statements/AAA/2016/AAA_financial_statements_2016_separate/AAA_financial_statements_2016_separate_extracted.txt,153222,129780,153222,46,48,348,128814
AAA,2017,AAA_financial_statements_2017_consolidated,consolidated,data/data/ViFinQA/financial_statements/AAA/2017/AAA_financial_statements_2017_consolidated/AAA_financial_statements_2017_consolidated_extracted.txt,174920,145292,174920,52,57,351,143993
AAA,2017,AAA_financial_statements_2017_separate,separate,data/data/ViFinQA/financial_statements/AAA/2017/AAA_financial_statements_2017_separate/AAA_financial_statements_2017_separate_extracted.txt,152199,127119,152199,47,41,347,125144
AAA,2018,AAA_financial_statements_2018_consolidated,consolidated,data/data/ViFinQA/financial_statements/AAA/2018/AAA_financial_statements_2018_consolidated/AAA_financial_statements_2018_consolidated_extracted.txt,199564,166259,199564,46,54,353,163252
AAA,2018,AAA_financial_statements_2018_separate,separate,data/data/ViFinQA/financial_statements/AAA/2018/AAA_financial_statements_2018_separate/AAA_financial_statements_2018_separate_extracted.txt,167256,139876,167256,43,46,351,135612
AAA,2019,AAA_financial_statements_2019_consolidated,consolidated,data/data/ViFinQA/financial_statements/AAA/2019/AAA_financial_statements_2019_consolidated/AAA_financial_statements_2019_consolidated_extracted.txt,188794,158276,188794,66,71,335,156849
AAA,2019,AAA_financial_statements_2019_separate,separate,data/data/ViFinQA/financial_statements/AAA/2019/AAA_financial_statements_2019_separate/AAA_financial_statements_2019_separate_extracted.txt,135032,113890,135032,52,51,332,111650
AAA,2020,AAA_financial_statements_2020_consolidated,consolidated,data/data/ViFinQA/financial_statements/AAA/2020/AAA_financial_statements_2020_consolidated/AAA_financial_statements_2020_consolidated_extracted.txt,202707,171452,202707,72,80,199,170120
AAA,2020,AAA_financial_statements_2020_separate,separate,data/data/ViFinQA/financial_statements/AAA/2020/AAA_financial_statements_2020_separate/AAA_financial_statements_2020_separate_extracted.txt,144508,123190,144508,51,59,196,120805
AAA,2021,AAA_financial_statements_2021_consolidated,consolidated,data/data/ViFinQA/financial_statements/AAA/2021/AAA_financial_statements_2021_consolidated/AAA_financial_statements_2021_consolidated_extracted.txt,211865,178891,211865,72,81,415,177205
