question_index,question_id,question,relevant_doc_count,relevant_table_count,evidence_count,evidence_variables,query_df_variables,query_uses_df,query_uses_dfs,query_assigns_result,query_length
1,1,Lãi tiền gửi năm 2018 của công ty mẹ CTCP Hàng không Vietjet (VJC) là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
2,2,Số dư cho vay khách hàng ngành Thương mại của công ty mẹ Ngân hàng TMCP Á Châu (ACB) cuối năm 2022 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
3,3,Chi phí dự phòng của Ngân hàng TMCP Sài Gòn Tài Lộc trong năm 2020 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
4,4,Lợi nhuận sau thuế của CTCP Chứng khoán FPT năm 2023 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
5,5,Chi phí phạt của công ty mẹ SCR năm 2017 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
6,6,Lưu chuyển tiền thuần từ hoạt động kinh doanh của công ty mẹ VSC trong năm 2017 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
7,7,"Quỹ khen thưởng, phúc lợi của HT1 cuối năm 2019 là bao nhiêu tỷ đồng?",0,0,0,,,False,False,False,0
8,8,Chi phí lương và các khoản khác theo lương của công ty mẹ CTCP Chứng khoán FPT trong năm 2021 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
9,9,Chi phí khác của SAM năm 2023 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
10,10,Chi phí tài chính của công ty mẹ CTCP Phát triển Sunshine Homes năm 2021 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
11,11,Số dư tiền gửi tại các TCTD khác cuối năm 2016 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (BID) là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
12,12,Vốn cổ phần đã phát hành của công ty mẹ VGT là bao nhiêu nghìn tỷ đồng vào cuối năm 2024?,0,0,0,,,False,False,False,0
13,13,Tiền và các khoản tương đương tiền của công ty mẹ Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn (SAB) vào cuối năm 2016 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
14,14,Chi phí quản lý doanh nghiệp năm 2025 của công ty mẹ ASM là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
15,15,Thù lao của thành viên HĐQT Chu Thị Bình tại công ty mẹ MPC năm 2021 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
16,16,Số dư vay ngắn hạn của công ty mẹ CEO cuối năm 2025 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
17,17,Lãi thuần từ hoạt động dịch vụ của Ngân hàng TMCP Sài Gòn - Hà Nội (SHB) năm 2018 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
18,18,Vốn chủ sở hữu của FIT là bao nhiêu tỷ đồng vào ngày 31/12/2015?,0,0,0,,,False,False,False,0
19,19,Tổng tỷ lệ quyền biểu quyết của công ty mẹ CTCP Đầu tư Hạ tầng Giao thông Đèo Cả năm 2023 là bao nhiêu phần trăm?,0,0,0,,,False,False,False,0
20,20,Tỷ lệ biểu quyết của Xí nghiệp Liên doanh Visorutex của công ty mẹ GVR đến ngày 31/12/2019 là bao nhiêu %?,0,0,0,,,False,False,False,0
21,21,Số dư thuế thu nhập doanh nghiệp phải trả của Ngân hàng TMCP Quốc tế Việt Nam (VIB) cuối năm 2020 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
22,22,Chi phí nhân công của công ty mẹ CTCP Điện lực Gelex (GEE) trong năm 2023 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
23,23,Vay và nợ của công ty mẹ CTCP Tập đoàn Đại Dương (OGC) đến ngày 31/12/2020 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
24,24,Vay dài hạn với Công ty Cổ phần Hoàng Anh Gia Lai của công ty mẹ CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai (HNG) cuối năm 2017 là bao nhiêu nghìn đồng?,0,0,0,,,False,False,False,0
25,25,Giá vốn hàng hóa của DIG trong năm 2023 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
26,26,Lãi vay phải trả của CTCP Tập đoàn Đức Long Gia Lai (DLG) cuối năm 2023 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
27,27,Lưu chuyển tiền thuần từ hoạt động kinh doanh của công ty mẹ CTCP Tập đoàn Đức Long Gia Lai (DLG) năm 2024 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
28,28,Tổng phải thu ngắn hạn khác của công ty mẹ CTCP Tập đoàn Đầu tư Địa ốc No Va đến ngày 31 tháng 12 năm 2016 là bao nhiêu nghìn tỷ đồng?,0,0,0,,,False,False,False,0
29,29,Tổng số trả trước cho người bán dài hạn của OGC đến ngày 31 tháng 12 năm 2019 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
30,30,Tổng giá trị thuần khoản đầu tư góp vốn vào đơn vị khác của Tập đoàn Bảo Việt là bao nhiêu triệu đồng đến ngày 31 tháng 12 năm 2021?,0,0,0,,,False,False,False,0
31,31,Doanh thu cho thuê khô tàu bay của công ty mẹ CTCP Hàng không Vietjet (VJC) trong năm 2025 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
32,32,Số dư phải thu theo tiến độ kế hoạch hợp đồng của FPT đến ngày 31/12/2025 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
33,33,Số dư dự phòng rủi ro cho vay khách hàng của Ngân hàng TMCP Quân đội là bao nhiêu triệu đồng vào cuối năm 2020?,0,0,0,,,False,False,False,0
34,34,Thu nhập khác của công ty mẹ CTCP Tập đoàn Xây dựng Hòa Bình trong năm 2022 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
35,35,Khoản phải thu từ Bảo Việt Nhân thọ của công ty mẹ Tập đoàn Bảo Việt (BVH) cuối năm 2015 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
36,36,Giá trị còn lại của lợi thế thương mại (tổng cộng) của CTCP Vincom Retail (VRE) là bao nhiêu triệu đồng đến ngày 31/12/2016?,0,0,0,,,False,False,False,0
37,37,Tổng cam kết cho thuê hoạt động của công ty mẹ CTCP Tập đoàn GELEX (GEX) đến ngày 31/12/2018 là bao nhiêu tỷ đồng?,0,0,0,,,False,False,False,0
38,38,Số dư thuế thu nhập doanh nghiệp phải trả của Ngân hàng TMCP Sài Gòn - Hà Nội đến cuối năm 2018 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
39,39,Số dư phải thu phí quản lý tập trung của công ty mẹ Tập đoàn Công nghiệp Cao su Việt Nam - CTCP cuối năm 2020 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
40,40,Lợi nhuận sau thuế của VIB năm 2020 là bao nhiêu triệu đồng?,0,0,0,,,False,False,False,0
