ticker,company_name,year,document_id,statement_type,relative_path
AAA,CTCP Nhựa An Phát Xanh,2015,AAA_financial_statements_2015_consolidated,consolidated,AAA/2015/AAA_financial_statements_2015_consolidated/AAA_financial_statements_2015_consolidated_extracted.txt
AAA,CTCP Nhựa An Phát Xanh,2015,AAA_financial_statements_2015_separate,separate,AAA/2015/AAA_financial_statements_2015_separate/AAA_financial_statements_2015_separate_extracted.txt
AAA,CTCP Nhựa An Phát Xanh,2016,AAA_financial_statements_2016_consolidated,consolidated,AAA/2016/AAA_financial_statements_2016_consolidated/AAA_financial_statements_2016_consolidated_extracted.txt
AAA,CTCP Nhựa An Phát Xanh,2016,AAA_financial_statements_2016_separate,separate,AAA/2016/AAA_financial_statements_2016_separate/AAA_financial_statements_2016_separate_extracted.txt
AAA,CTCP Nhựa An Phát Xanh,2017,AAA_financial_statements_2017_consolidated,consolidated,AAA/2017/AAA_financial_statements_2017_consolidated/AAA_financial_statements_2017_consolidated_extracted.txt
AAA,CTCP Nhựa An Phát Xanh,2017,AAA_financial_statements_2017_separate,separate,AAA/2017/AAA_financial_statements_2017_separate/AAA_financial_statements_2017_separate_extracted.txt
AAA,CTCP Nhựa An Phát Xanh,2018,AAA_financial_statements_2018_consolidated,consolidated,AAA/2018/AAA_financial_statements_2018_consolidated/AAA_financial_statements_2018_consolidated_extracted.txt
AAA,CTCP Nhựa An Phát Xanh,2018,AAA_financial_statements_2018_separate,separate,AAA/2018/AAA_financial_statements_2018_separate/AAA_financial_statements_2018_separate_extracted.txt
AAA,CTCP Nhựa An Phát Xanh,2019,AAA_financial_statements_2019_consolidated,consolidated,AAA/2019/AAA_financial_statements_2019_consolidated/AAA_financial_statements_2019_consolidated_extracted.txt
AAA,CTCP Nhựa An Phát Xanh,2019,AAA_financial_statements_2019_separate,separate,AAA/2019/AAA_financial_statements_2019_separate/AAA_financial_statements_2019_separate_extracted.txt
AAA,CTCP Nhựa An Phát Xanh,2020,AAA_financial_statements_2020_consolidated,consolidated,AAA/2020/AAA_financial_statements_2020_consolidated/AAA_financial_statements_2020_consolidated_extracted.txt
AAA,CTCP Nhựa An Phát Xanh,2020,AAA_financial_statements_2020_separate,separate,AAA/2020/AAA_financial_statements_2020_separate/AAA_financial_statements_2020_separate_extracted.txt
